candidates_after_prefilter,candidates_before_prefilter,diagnostic_mode,lowres_render_count,prefilter_reject_count,proposal_prepare_s,realization_attempt_count,runtime_s,stage_anchor,stage_background,stage_cargo,stage_collision_audit,stage_context,stage_explicit,stage_explicit_prep,usable_id
,,context-rich,15,,,0,17.56681489944458,0.047694,0.016531,0.007537,0.04719,10.9024,2.9e-05,1.6e-05,48
102,129,controlled-occlusion,115,27,1.914322,10,88.9477105140686,0.072215,0.017106,7.1734,0.934914,12.647437,61.261734,0.101964,49
,,clean-static,0,,,0,5.05950665473938,0.126747,0.020436,0.011982,0.076006,0.000802,3.4e-05,1.1e-05,50
,,cargo-only,8,,,0,8.823350429534912,0.140236,0.019782,3.532331,0.220542,0.000729,3.7e-05,3.1e-05,51
,,context-rich,37,,,0,23.68178367614746,0.126053,0.017643,0.010732,0.266851,17.981221,3.2e-05,1.2e-05,52
245,275,controlled-occlusion,41,30,1.909815,9,25.628403663635254,0.146701,0.01874,0.026204,0.390458,6.775548,12.843759,0.184979,53
,,context-rich,61,,,0,33.23235535621643,0.130385,0.022735,5.020611,0.306981,22.01692,3.5e-05,1.6e-05,54
129,207,controlled-occlusion,55,78,1.810548,2,44.21930146217346,0.05582,0.016457,5.209157,0.134922,14.507358,17.503982,0.201708,55
,,clean-static,0,,,0,5.882018566131592,0.205695,0.024167,0.008864,0.136513,0.000899,2.5e-05,1e-05,56
,,cargo-only,8,,,0,10.2461256980896,0.055866,0.015427,4.914642,0.062004,0.001059,3.4e-05,1.5e-05,57
,,context-rich,27,,,0,40.96663808822632,0.050924,0.01735,11.713461,0.641382,22.661965,4.1e-05,2.4e-05,58
168,217,controlled-occlusion,113,49,1.758656,9,120.51667213439941,1.754201,0.017797,0.019201,1.185261,75.134071,36.315457,0.15422,59
,,clean-static,0,,,0,6.424189567565918,0.126936,0.018552,0.011092,0.088054,0.00073,3.3e-05,9e-06,60
,,cargo-only,12,,,0,9.785876035690308,0.126682,0.018056,4.667914,0.129462,0.000915,3.7e-05,1.5e-05,61
,,context-rich,15,,,0,16.29448676109314,0.047461,0.01619,0.00795,0.070989,9.762808,2.3e-05,9e-06,62
148,225,controlled-occlusion,78,77,1.723402,4,42.69664478302002,0.130032,0.017831,6.435895,0.297745,8.324235,22.249179,0.213666,63
,,context-rich,23,,,0,39.83318734169006,4.90294,0.028665,8.574042,2.710905,16.91523,3.4e-05,1.5e-05,64
116,226,controlled-occlusion,55,110,1.69376,2,46.383506774902344,0.051918,0.016302,5.160598,0.107978,16.083822,18.459805,0.090897,65
,,clean-static,0,,,0,5.309341192245483,0.049265,0.014838,0.007913,0.026433,0.00097,2.5e-05,1e-05,66
,,cargo-only,12,,,0,12.56630277633667,0.047787,0.014651,7.24916,0.027985,0.000518,3.1e-05,1.3e-05,67
,,context-rich,23,,,0,26.03650403022766,1.777809,0.01834,5.73114,0.448202,11.141023,3.6e-05,1.6e-05,68
83,132,controlled-occlusion,71,49,1.85602,7,63.77988004684448,1.686609,0.018889,9.562301,0.375309,10.441927,35.495032,0.16306,69
,,clean-static,0,,,0,5.241750955581665,0.048829,0.01799,0.007319,0.045542,0.000979,2.3e-05,8e-06,70
,,cargo-only,8,,,0,9.416067361831665,0.156215,0.020702,4.008643,0.207635,0.001148,3.4e-05,1.6e-05,71
,,context-rich,23,,,0,21.048949480056763,0.047965,0.017457,5.231916,0.107243,10.135875,3.8e-05,1.6e-05,72
143,204,controlled-occlusion,64,61,1.835112,2,38.56828999519348,0.135512,0.018822,4.095001,0.45421,15.58288,12.731261,0.194026,73
,,context-rich,15,,,0,40.12762451171875,0.05156,0.018384,0.007876,0.528961,33.234154,2.4e-05,9e-06,74
118,165,controlled-occlusion,73,47,0.43783,2,41.52044677734375,0.11487,0.019058,0.018875,0.320041,22.252125,12.226705,0.157429,75
,,clean-static,0,,,0,5.388730525970459,0.169002,0.025025,0.00857,0.116768,0.001053,3.4e-05,1.1e-05,76
,,cargo-only,8,,,0,10.458597660064697,0.071471,0.014768,5.249573,0.055362,0.000811,4.3e-05,1.9e-05,77
,,context-rich,15,,,0,16.55573582649231,0.056599,0.014649,0.018155,0.093368,11.14138,4.1e-05,1.2e-05,78
65,149,controlled-occlusion,160,84,1.816052,18,165.1424958705902,0.051814,0.016923,15.699333,0.114254,15.925093,126.748342,0.129266,79
,,clean-static,0,,,0,7.034565687179565,0.182145,0.023555,0.009868,0.157092,0.001183,2.9e-05,9e-06,80
,,cargo-only,8,,,0,8.626052618026733,0.150771,0.019297,3.325638,0.184919,0.00077,3.5e-05,1.6e-05,81
,,context-rich,25,,,0,28.075509309768677,0.204346,0.025598,6.263701,0.960993,14.894657,3.6e-05,1.6e-05,82
106,192,controlled-occlusion,25,86,1.737182,1,23.436354637145996,0.054093,0.014553,0.01654,0.201537,11.324606,6.378533,0.121214,83
,,context-rich,20,,,0,22.57228446006775,0.149707,0.018872,3.687579,0.328889,13.04462,3.6e-05,1.6e-05,84
61,127,controlled-occlusion,25,66,1.843195,1,31.92033624649048,0.051669,0.016775,0.015828,0.092549,14.25042,10.008802,0.138019,85
,,clean-static,0,,,0,5.134209871292114,0.129237,0.018615,0.01138,0.090638,0.000757,3e-05,1e-05,86
,,cargo-only,8,,,0,9.162724733352661,0.138138,0.011967,3.949156,0.227847,0.001377,3.4e-05,1.6e-05,87
,,context-rich,17,,,0,19.516594409942627,0.047867,0.017048,0.00874,0.492405,13.653398,2.8e-05,9e-06,88
71,108,controlled-occlusion,86,37,1.898056,9,47.08680844306946,0.127602,0.019768,6.035176,0.302234,6.404399,27.610185,0.184387,89
,,clean-static,0,,,0,7.821319341659546,1.711689,0.016888,0.011295,0.095179,0.001219,3.6e-05,1e-05,90
,,cargo-only,8,,,0,10.072762966156006,0.056037,0.016648,4.911893,0.067692,0.001072,3.5e-05,1.7e-05,91
,,context-rich,17,,,0,17.127723217010498,0.056149,0.01391,0.007172,0.145044,11.47767,2.6e-05,6e-06,92
84,156,controlled-occlusion,87,72,1.827268,3,90.19211077690125,0.051203,0.016728,0.015046,0.058439,56.888324,26.506931,0.101435,93
,,context-rich,15,,,0,13.301585674285889,0.135831,0.019295,0.011531,0.300651,6.554541,2.6e-05,9e-06,94
194,242,controlled-occlusion,111,48,1.878192,3,97.66198921203613,1.784712,0.046193,0.020236,0.543337,66.273516,21.156263,0.223584,95
,,clean-static,0,,,0,5.2754786014556885,0.055633,0.017023,0.008207,0.032567,0.001222,2.5e-05,9e-06,96
,,cargo-only,8,,,0,11.580811262130737,0.048962,0.015581,5.127756,0.058216,0.001236,3.7e-05,1.7e-05,97
,,context-rich,23,,,0,27.141937971115112,1.70468,0.018677,5.796038,0.484947,12.994416,3.6e-05,1.5e-05,98
87,154,controlled-occlusion,107,67,1.798666,10,95.6318883895874,1.808838,0.045262,9.590912,0.865522,23.882389,52.234398,0.207192,99
