usable_id,diagnostic_mode,semantics_pass,failed,unknown,recorded_pass,n_cargo_requested,n_cargo_placed,n_cargo_visible,cargo_visible_pixels,cargo_visible_pixel_ratio,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,explicit_occluder_placed,explicit_occluder_visible_pixels,occluder_side_target,occluder_side_actual,occluder_side_match,f_explicit_target,f_explicit_actual,explicit_metrics_available,f_explicit_actual_lowres,explicit_abs_error_lowres,explicit_target_pixels,explicit_actual_pixels_lowres,explicit_target_centroid_u,explicit_target_centroid_v,explicit_actual_centroid_u_lowres,explicit_actual_centroid_v_lowres,search_winning_stage,coarse_eval_count,fine_eval_count,runtime_s
0,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,7.094091415405273
1,cargo-only,True,,,True,2,2,2,64,0.004629629629629629,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.370739698410034
2,context-rich,True,,,True,2,2,2,1676,0.13639322916666666,3,1,1,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,21.989343881607056
3,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,2,2,1.0,True,228,left,left,True,0.19537258492039322,,True,0.15789473684210525,0.03747784807828797,38,6,85.71052631578948,37.0,79.5,37.0,target-seed,9,0,41.9253044128418
4,context-rich,True,,,True,2,2,2,223,0.01613136574074074,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,26.808188915252686
5,controlled-occlusion,True,,,True,2,1,1,84,0.005116959064327485,3,3,3,1.0,True,12513,right,right,True,0.27312834436863037,,True,0.15918367346938775,0.11394467089924262,204,39,112.98039215686275,124.84803921568627,131.46153846153845,124.66666666666667,target-seed,18,0,60.205660581588745
6,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,4.953212022781372
7,cargo-only,True,,,True,2,2,2,832,0.06018518518518518,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.264337539672852
8,context-rich,True,,,True,0,0,0,0,0.0,3,3,2,0.6666666666666666,False,0,,,,0.0,,False,,,,,,,,,,,,24.678026914596558
9,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,193,bottom,bottom,True,0.14684539908486832,,True,0.040268456375838924,0.1065769427090294,298,12,86.71476510067114,81.09731543624162,87.66666666666667,91.16666666666667,preprobe,21,0,28.363297939300537
10,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,6.380374193191528
11,cargo-only,True,,,True,2,2,2,1906,0.15511067708333334,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,9.56724500656128
12,context-rich,True,,,True,2,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,29.597841262817383
13,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,455,left,left,True,0.39950323821430234,,True,0.3076923076923077,0.09181093052199463,65,20,84.58461538461539,28.723076923076924,79.5,28.7,target-seed,18,0,33.4101448059082
14,context-rich,True,,,True,2,2,2,58,0.003533138401559454,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,27.837214946746826
15,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,2,0.6666666666666666,True,11123,right,right,True,0.4082084078182895,,True,0.38010425716768026,0.028104150650609228,2302,875,47.32102519548219,99.751954821894,75.04914285714285,98.42628571428571,target-seed,9,0,47.183006286621094
16,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.080384016036987
17,cargo-only,True,,,True,2,2,2,723,0.044042397660818716,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.198763847351074
18,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,18.193697214126587
19,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,2,2,1.0,True,5186,bottom,bottom,True,0.2577233925098761,,True,0.3020312040035325,0.044307811493656424,6794,2052,101.96114218428025,73.99219899911687,115.35672514619883,92.89278752436647,target-seed,29,0,78.7885172367096
20,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.427725076675415
21,cargo-only,True,,,True,2,2,2,56,0.00341130604288499,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,10.307001829147339
22,context-rich,True,,,True,2,2,2,2590,0.1577729044834308,3,2,2,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,26.078797578811646
23,controlled-occlusion,True,,,True,2,1,1,20,0.002170138888888889,3,3,3,1.0,True,323,left,left,True,0.23646578345592215,,True,0.21397379912663755,0.022491984329284592,195,49,63.2,88.0974358974359,54.142857142857146,87.6938775510204,target-seed,21,0,46.8624632358551
24,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,15.743005752563477
25,controlled-occlusion,True,,,True,2,2,2,47,0.003399884259259259,3,3,3,1.0,True,218,bottom,bottom,True,0.12697100401716757,,True,0.13544668587896252,0.008475681861794954,277,47,133.31768953068593,108.34657039711192,135.27659574468086,114.97872340425532,target-seed,9,0,67.9326982498169
26,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,4.962241172790527
27,cargo-only,True,,,True,2,1,1,75,0.004568713450292397,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,11.502297163009644
28,context-rich,True,,,True,2,2,2,1366,0.08321150097465888,3,2,2,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,30.484049320220947
29,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,5081,right,right,True,0.3343477429268502,,True,0.30638297872340425,0.027964764203445958,705,216,118.10921985815602,71.60425531914893,130.77777777777777,74.81481481481481,target-seed,21,0,58.10186314582825
30,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.597433567047119
31,cargo-only,True,,,True,2,2,1,53,0.003833912037037037,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,13.713423013687134
32,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,15.563700914382935
33,controlled-occlusion,True,,,True,2,1,1,78,0.004751461988304093,3,3,3,1.0,True,4409,left,left,True,0.19524197566885365,,True,0.17571059431524547,0.019531381353608185,343,68,113.30320699708454,31.0466472303207,97.8970588235294,30.676470588235293,target-seed,9,0,40.419278383255005
34,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,64.19899535179138
